±â¿Â,½Àµµ,Ç³Çâ,Ç³¼Ó,»êºÒ,¹ß»ýÀÏ½Ã_³â,¹ß»ýÀÏ½Ã_¿ù,¹ß»ýÀÏ½Ã_ÀÏ,°èÀý
9.8,22,160,1.6,0,2013,3,9,º½
8.8,41,230,1.4,0,2011,3,9,º½
0.3,95,0,0,0,2010,11,22,°¡À»
21.3,30,230,4.8,0,2010,5,10,º½
11,32,320,1.1,0,2007,3,1,º½
15.8,81,340,0.5,0,2006,5,22,º½
16.2,45,320,1,0,2019,5,2,º½
12.8,22,200,2.2,0,2018,3,14,º½
13.7,70,340,1.3,0,2017,6,3,¿©¸§
1.4,32,270,5.1,0,2015,3,7,º½
13.3,15,230,1.7,0,2019,3,12,º½
28.3,69,290,0.5,0,2018,8,1,¿©¸§
25.2,35,230,0.6,0,2017,5,7,º½
-7.3,36,230,2.5,0,2016,1,26,°Ü¿ï
16.6,26,160,1.3,0,2015,3,30,º½
-0.1,57,0,0.2,0,2015,2,1,°Ü¿ï
16.3,48,180,1.4,0,2013,5,6,º½
24.9,52,230,1.6,0,2012,6,19,¿©¸§
19.8,51,140,0.7,0,2011,10,13,°¡À»
27.6,51,230,1.5,0,2011,6,15,¿©¸§
17.8,25,230,3.2,0,2011,4,16,º½
9.5,45,50,2.6,0,2011,4,5,º½
11,34,290,0.7,0,2010,11,26,°¡À»
15.3,24,230,1.3,0,2010,4,11,º½
22.3,18,160,0.8,0,2009,4,10,º½
14.7,20,200,2.5,0,2009,4,5,º½
8.5,59,270,2.8,0,2009,4,3,º½
25.1,18,230,1.2,0,2008,4,18,º½
18.5,33,200,3.7,0,2006,11,12,°¡À»
12.3,20,250,1.4,0,2005,11,17,°¡À»
33.2,59,230,3,0,2018,8,17,¿©¸§
18,21,270,4,0,2005,4,26,º½
10.3,28,200,1.5,0,2013,3,27,º½
7.4,28,230,3.3,0,2019,1,27,°Ü¿ï
19.7,30,110,1.6,0,2019,5,7,º½
-5.9,47,230,1.6,0,2019,1,20,°Ü¿ï
11.3,42,230,2.1,0,2018,3,22,º½
11.3,28,70,3.5,0,2019,2,27,°Ü¿ï
1.2,25,230,2.8,0,2016,2,4,°Ü¿ï
21.7,68,180,2.4,0,2015,6,3,¿©¸§
33.2,59,200,1.9,0,2018,7,29,¿©¸§
16.5,61,200,1.7,0,2016,4,11,º½
8.5,43,50,0.9,0,2016,3,18,º½
21.2,24,200,2.4,0,2018,4,21,º½
19.9,30,230,3.7,0,2017,4,29,º½
8.4,89,360,0.7,0,2013,5,6,º½
6.6,59,0,0,0,2011,4,13,º½
3.5,32,110,1.3,0,2015,3,9,º½
14.3,51,50,5.1,0,2017,4,13,º½
8.1,28,250,1.5,0,2017,3,14,º½
3.4,55,250,4.2,0,2017,3,12,º½
-2,29,200,0.8,0,2016,1,25,°Ü¿ï
7.6,35,180,2.4,0,2013,3,9,º½
6.6,37,230,2.7,0,2011,3,9,º½
1.4,88,0,0,0,2010,11,22,°¡À»
19.4,72,200,3.2,0,2010,5,10,º½
10.1,39,270,1.2,0,2007,3,1,º½
13.4,79,20,1,0,2006,5,22,º½
14.6,50,250,1.4,0,2019,5,2,º½
9.2,41,230,3.4,0,2018,3,14,º½
17.2,97,20,1.1,0,2017,6,3,¿©¸§
3.2,94,20,0.5,0,2015,3,7,º½
13.8,24,200,2.9,0,2019,3,12,º½
28.4,85,360,2,0,2018,8,1,¿©¸§
27.2,26,250,1.7,0,2017,5,7,º½
-13.7,84,0,0.3,0,2016,1,26,°Ü¿ï
14.8,19,110,1,0,2015,3,30,º½
3.8,40,200,0.9,0,2015,2,1,°Ü¿ï
15.8,47,50,1.6,0,2013,5,6,º½
21.9,60,340,2.4,0,2012,6,19,¿©¸§
18.7,54,340,0.6,0,2011,10,13,°¡À»
28.3,39,250,1.4,0,2011,6,15,¿©¸§
15.8,11,200,3.6,0,2011,4,16,º½
13,29,230,1.5,0,2011,4,5,º½
10.6,27,320,4.4,0,2010,11,26,°¡À»
12.1,24,250,1.6,0,2010,4,11,º½
19.9,15,270,2.6,0,2009,4,10,º½
10.3,34,230,1.4,0,2009,4,5,º½
10.8,41,50,1.3,0,2009,4,3,º½
22,32,180,0.7,0,2008,4,18,º½
10.8,70,50,0.8,0,2006,11,12,°¡À»
9.3,44,320,0.5,0,2005,11,17,°¡À»
32.2,57,250,1.8,0,2018,8,17,¿©¸§
15.7,24,230,4.9,0,2005,4,26,º½
6.9,53,200,2.6,0,2013,3,27,º½
5.6,49,230,3.4,0,2019,1,27,°Ü¿ï
19.8,30,180,1.6,0,2019,5,7,º½
