발생일시_년,발생일시_월,발생일시_일,발생일시_시간,발생일시_요일,진화종료시간_년,진화종료시간_월,진화종료시간_일,진화종료시간_시간,발생장소_관서,발생장소_시도,발생장소_시군구,발생장소_읍면,발생장소_동리,발생장소_지번,발생원인_구분,발생원인_세부원인,발생원인_기타,피해면적_합계,X-좌표,Y-좌표,정제결과
2015,3,9,15:45,월,2015,3,9,16:20,경북,경북,안동,녹전,사신,186,기,소각재 투기,,0.1,128.77623,36.6990079,경상북도 안동시 녹전면 사신리 186
2014,3,10,15:20,월,2014,3,10,16:35,경북,경북,안동,풍산,만운,산176,논,논밭두렁 소각(추정),,0.1,128.583544,36.6176142,경상북도 안동시 풍산읍 만운리 산176
2014,2,26,10:55,수,2014,2,26,12:55,경북,경북,안동,풍천,금계,산63,입,입산자실화 추정(약초꾼),,0.1,128.510882,36.5110166,경상북도 안동시 풍천면 금계리 산63
2014,2,7,16:00,금,2014,2,7,17:05,경북,경북,안동,녹전,원천,산132-1,논,논밭두렁 소각,,0.1,128.757753,36.7940936,경상북도 안동시 녹전면 원천리 산132-1
2013,5,9,15:10,목,2013,5,9,16:12,경북,경북,안동,임동,고천,산29,논,농산폐기물소각,,0.1,128.959281,36.5475838,경상북도 안동시 임동면 고천리 산29
2012,5,27,17:53,일,2012,5,27,19:42,남부,경북,안동,풍천,어담,산14,기,양봉작업,,0.1,,,
2012,4,19,14:22,목,2012,4,19,17:00,경북,경북,안동,남후,광음,산81,담,담뱃불실화,,0.1,128.662125,36.5160706,경상북도 안동시 남후면 광음리 산81
2011,4,4,13:25,월,2011,4,4,14:20,경북,경북,안동,와룡,주계,산105,성,성묘객실화,,0.1,128.801851,36.6341117,경상북도 안동시 와룡면 주계리 산105
2009,3,10,15:40,화,2009,3,10,16:15,경북,경북,안동,서후,이개,산141,논,논밭두렁소각,,0.1,128.634955,36.6242547,경상북도 안동시 서후면 이개리 산141
2009,3,2,12:40,월,2009,3,2,13:45,경북,경북,안동,도산,의일,산34,입,입산자실화추정,,0.1,128.80505,36.7347765,경상북도 안동시 도산면 의일리 산34
2008,5,7,18:30,수,2008,5,7,19:40,남부,경북,안동,풍천,어담,산25,입,산채채취자추정,,0.1,,,
2008,2,18,14:20,월,2008,2,18,14:56,경북,경북,안동,정하,,산69-1,쓰,쓰레기소각,,0.1,128.736063,36.5414542,경상북도 안동시 정하동 산69-1
2007,3,11,13:00,일,2007,3,11,13:25,경북,경북,안동,수상,,산124,입,입산자실화,,0.1,128.705722,36.5413421,경상북도 안동시 수상동 산124
2007,1,16,22:40,화,2007,1,16,23:50,경북,경북,안동,남선,현내,산125,기,방화추정,,0.1,128.743624,36.5225846,경상북도 안동시 남선면 현내리 산125
2006,4,25,9:52,화,2006,4,25,10:38,경북,경북,안동,북후,물한,산665-1,입,입산자실화,,0.1,128.713564,36.6557404,경상북도 안동시 북후면 물한리 산665-1
2006,3,26,14:50,일,2006,3,26,15:40,경북,경북,안동,북후,연곡,산174,논,논밭두렁소각,,0.1,128.739193,36.6636134,경상북도 안동시 북후면 연곡리 산174
2005,12,30,15:52,금,2005,12,30,17:39,경북,경북,안동,남선,도로,산68,입,입산자실화추정,,0.1,128.759823,36.5127869,경상북도 안동시 남선면 도로리 산68
2005,5,4,14:40,수,2005,5,4,15:45,경북,경북,안동,녹전,매정,산184,입,입산자실화추정,,0.1,128.772432,36.7961824,경상북도 안동시 녹전면 매정리 산184
2005,4,26,11:40,화,2005,4,26,12:35,경북,경북,안동,예안,구룡,산47,쓰,쓰레기소각,,0.1,128.923614,36.6547333,경상북도 안동시 예안면 구룡리 산47
2005,4,17,10:30,일,2005,4,17,11:10,경북,경북,안동,풍천,인금,산122,입,입산자실화추정,,0.1,128.5437,36.5228781,경상북도 안동시 풍천면 인금리 산122
2005,4,2,14:40,토,2005,4,2,15:55,경북,경북,안동,도산,가송,산76,쓰,쓰레기소각,,0.1,128.859963,36.7689254,경상북도 안동시 도산면 가송리 산76
2004,10,23,14:10,토,2004,10,23,15:20,경북,경북,안동,예안,인계,산31,입,입산자실화추정,,0.1,128.913023,36.6944298,경상북도 안동시 예안면 인계리 산31
2004,10,12,14:30,화,2004,10,12,15:10,경북,경북,안동,임하,노산,산315-6,입,입산자실화추정,,0.1,128.820168,36.573421,경상북도 안동시 임하면 노산리 산315-6
2004,6,3,13:50,목,2004,6,3,14:50,남부,경북,안동,임하,추목,산185,입,입산자실화추정,,0.1,,,
2004,3,26,15:50,금,2004,3,26,16:10,경북,경북,안동,풍천,어담,산92,기,경운기사고실화,,0.1,128.564194,36.4861096,경상북도 안동시 풍천면 어담리 산92
2003,5,5,13:00,공,2003,5,5,14:00,경북,경북,안동,길안,만음,산57,기,전기누전,,0.1,128.881085,36.4374506,경상북도 안동시 길안면 만음리 산57
