발생일시_년,발생일시_월,발생일시_일,발생일시_시간,발생일시_요일,진화종료시간_년,진화종료시간_월,진화종료시간_일,진화종료시간_시간,발생장소_관서,발생장소_시도,발생장소_시군구,발생장소_읍면,발생장소_동리,발생장소_지번,발생원인_구분,발생원인_세부원인,발생원인_기타,피해면적_합계,X-좌표,Y-좌표,정제결과
2018,3,28,12:36,수,2018,3,28,14:40,남부,경상북도,영양군,청기면,행화리,산19,기,기타(직접입력),야외 아궁이 불씨 비산화,12.4,129.020371,36.7785995,경상북도 영양군 청기면 행화리 산19
2009,4,11,14:40,토,2009,4,12,10:30,전남,전라남도,순천시,,봉산동,산83-1,쓰,쓰레기소각추정,,12.4,127.469541,34.9897777,전라남도 순천시 가곡동 산83-1
2015,3,28,14:40,토,2015,3,28,22:30,동부,강원도,평창군,미탄면,평안리,산1-1,기,원인미상,,11.1,128.529183,37.3969201,강원도 평창군 미탄면 평안리 산1-1
2014,3,8,16:30,토,2014,3,9,17:00,경북,경상북도,성주군,수륜면,수륜면,산75,입,입산자 실화 추정,,11,128.208983,35.8396006,경상북도 성주군 수륜면 수륜리 산75
2012,4,19,14:16,목,2012,4,19,23:00,북부,강원도,홍천군,화촌면,내삼포리,산51,입,임산물채취객실화,,11,127.97858,37.7351432,강원도 홍천군 화촌면 내삼포리 산51
2008,4,20,16:00,일,2008,4,21,10:50,충북,충청북도,음성군,감곡리,문촌리,산81-1,입,입산자실화,,11,127.695583,37.1377913,충청북도 음성군 감곡면 문촌리 산81-1
2015,3,22,16:04,일,2015,3,22,21:40,강원,강원도,홍천군,두촌면,천현동,산134-3,기,용접작업 비화,,10.8,128.004684,37.8636473,강원도 홍천군 두촌면 천현리 산134-3
2008,4,20,14:15,일,2008,4,20,15:40,인천,인천광역시,옹진군,덕적면,진리,산377,입,입산자실화,,10.6,126.126803,37.2173021,인천광역시 옹진군 덕적면 진리 산377
2015,3,10,13:40,화,2015,3,10,23:00,경북,경상북도,경주시,강동구,안계리,산27-2,기,군부대 실화(신호탄 발화),,10,129.274078,36.0369045,경상북도 경주시 강동면 안계리 산27-2
2013,3,10,13:15,일,2013,3,10,17:00,경남,경상남도,거창군,위천리,당산동,산23-3,쓰,쓰레기소각,,10,127.863509,35.7566348,경상남도 거창군 위천면 당산리 산23-3
2013,3,9,16:00,토,2013,3,9,23:00,경남,경상남도,합천군,가야동,이천리,산26,담,담뱃불실화,,10,128.138299,35.7374989,경상남도 합천군 가야면 이천리 산26
2009,3,17,14:20,화,2009,3,18,7:15,충북,충청북도,영동군,영동리,원암리,산108-1,기,과수원부산물소각,,10,127.852789,36.1968305,충청북도 영동군 영동읍 가리 산108-1
2006,1,3,4:15,화,2006,1,3,15:40,경북,경상북도,칠곡군,지천리,심천면,산2-12,입,입산자실화,,10,128.520837,35.9840833,경상북도 칠곡군 지천면 심천리 산2-12
2005,4,28,14:35,목,2005,4,29,8:00,동부,강원도,정선군,정선군,귤암리,산70,입,입산자실화추정,,10,128.577936,37.3307914,강원도 정선군 정선읍 귤암리 산70
2004,4,16,15:15,금,2004,4,16,17:50,울산,울산광역시,남구,상개동,,산39,입,입산자실화추정,,10,129.322155,35.502089,울산광역시 남구 상개동 산39
2018,8,17,13:46,금,2018,8,17,18:20,강원,강원도,춘천시,동구,월곡동,산33외11,입,기타(직접입력),입산자 실화추정,9.4,127.809913,37.9317418,강원도 춘천시 동면 월곡리 산33 외11
2005,1,11,14:40,화,2005,1,11,17:20,경북,경상북도,울진군,근남면,구산동,산1,기,군사훈련실화,,9.06,129.393613,36.9429868,경상북도 울진군 근남면 구산리 산1
2009,4,10,13:00,금,2009,4,11,9:00,경북,경상북도,경주시,감포읍,오류동,산293,기,하우스골조절단작업중비화,,9,129.477265,35.8393501,경상북도 경주시 감포읍 오류리 산293
2005,4,16,7:43,토,2005,4,16,11:00,기타,강원도,고성군,간성읍,광산동,산48-1,성,성묘객실화,,8.55,128.408927,38.3758609,강원도 고성군 간성읍 광산리 산48-1
2016,3,31,3:00,목,2016,3,31,18:30,북부,경기도,양주시,장흥리,울대리,산66-1,기,기타(직접입력),방화추정,8.3,127.011362,37.7049207,경기도 양주시 장흥면 울대리 산66-1
2006,3,12,17:04,일,2006,3,13,8:30,대구,대구광역시,동구,지묘동,,산17,어,어린이불장난,,8,128.646501,35.9530944,대구광역시 동구 지묘동 산17
2005,4,26,14:08,화,2005,4,26,17:00,강원,강원도,춘천시,신북면,용산구,산41-1,입,입산자실화추정,,8,127.717726,37.9519701,강원도 춘천시 신북읍 용산리 산41-1
2003,4,6,13:20,일,2003,4,6,16:30,대전,대전광역시,서구,봉곡동,,산38,성,성묘객실화,,8,128.10933,35.6306139,경상남도 합천군 묘산면 봉곡리 산38
2004,4,25,14:30,일,2004,4,25,18:15,중부,대전광역시,동구,주촌동,,산13-1,기,용접작업실화,,7.5,127.534466,36.3956135,대전광역시 동구 주촌동 산13-1
2010,4,17,14:10,토,2010,4,17,15:45,경북,경상북도,영주시,장수동,갈산동,산96-1,논,농산폐기물소각,,7.45,128.560983,36.777961,경상북도 영주시 장수면 갈산리 산96-1
2009,4,9,18:50,목,2009,4,9,21:30,전남,전라남도,곡성군,삼기면,금반리,산79외1필,입,입산자실화,,7.35,127.24587,35.2273021,전라남도 곡성군 삼기면 금반리 산79 외1필
2019,4,1,16:10,월,2019,4,2,10:00,전남,전라남도,순천시,승주읍,유평리,산18-1,기,기타(직접입력),원인미상(조사중),7,127.376745,34.995995,전라남도 순천시 승주읍 유평리 산18-1
2018,2,17,14:20,토,2018,2,17,23:00,경북,경상북도,영덕군,창수면,오촌리,산44,기,기타(직접입력),원인미상(조사중),7,129.331489,36.6074851,경상북도 영덕군 창수면 오촌리 산44
2016,4,2,14:57,토,2016,4,2,19:00,경기,경기도,가평군,가평군,개곡리,산58,입,기타(직접입력),,7,127.561507,37.8779236,경기도 가평군 가평읍 개곡리 산58
2015,3,4,11:40,수,2015,3,5,8:00,동부,강원도,정선군,여량면,구절리,211대,건,펜션화재 비화,,7,128.746669,37.5188907,강원도 정선군 여량면 구절리 211
2013,4,13,21:20,토,2013,4,14,8:30,충남,충청남도,논산시,벌곡면,신양리,산79,기,풍등에 의한 실화,,7,127.299591,36.2049212,충청남도 논산시 벌곡면 신양리 산79
2011,3,14,14:30,월,2011,3,14,16:30,울산,울산광역시,울주군,언양읍,평동,산2 외 1,논,논밭두렁소각,,7,129.132224,35.6131939,울산광역시 울주군 언양읍 평리 산2
2009,4,10,12:45,금,2009,4,10,14:35,전남,전라남도,화순군,북구,노치리,산51-1,논,논밭두렁소각,,7,127.186008,35.1514516,전라남도 화순군 북면 노치리 산51-1
2009,4,6,6:02,월,2009,4,8,9:00,충북,충청북도,옥천군,군서면,상중리,산47-1외3필,입,입산자실화추정,,7,127.494311,36.2959548,충청북도 옥천군 군서면 상중리 산47-1 외3필
2008,4,6,14:00,일,2008,4,6,23:07,충북,충청북도,영동군,상촌면,임산리,산76-1,성,성묘객실화,,7,127.900182,36.1469377,충청북도 영동군 상촌면 임산리 산76-1
2005,12,13,18:10,화,2005,12,14,0:27,울산,울산광역시,동구,동부리,,산189,입,입산자실화추정,,7,129.438926,35.5430257,울산광역시 동구 동부동 산189
2004,4,17,13:38,토,2004,4,17,18:40,충북,충청북도,진천군,초평동,진암리,산37-1,입,입산자실화추정,,7,127.517924,36.7829191,충청북도 진천군 초평면 진암리 산37-1
2004,4,16,14:25,금,2004,4,16,18:40,충북,충청북도,충주시,소태동,주치리,산51-1,입,입산자실화추정,,7,127.860993,37.1441046,충청북도 충주시 소태면 주치리 산51-1
2017,11,10,1:20,금,2017,11,10,14:30,북부,경기도,파주시,적성면,설마리,산21-2,기,무속행위,,6.5,126.961501,37.9360986,경기도 파주시 적성면 설마리 산21-2
2009,3,17,12:25,화,2009,3,17,18:30,경북,경상북도,영천시,고경면,상덕동,산7-1,성,성묘객실화,,6.5,129.076385,36.0176579,경상북도 영천시 고경면 상덕리 산7-1
2007,2,24,12:30,토,2007,2,24,16:05,전남,전라남도,영광군,염산면,송암리,산7,논,논밭두렁소각,,6.5,126.340958,35.2322545,전라남도 영광군 염산면 송암리 산7
2017,6,23,14:19,금,2017,6,24,16:00,중부,충청남도,금산군,제원면,대산리,산1-1,입,기타(직접입력),입산자 실화추정,6.3,127.560567,36.1359016,충청남도 금산군 제원면 대산리 산1-1
2013,2,28,13:00,목,2013,2,28,18:00,전남,전라남도,곡성군,겸면,괴정동,산200-1,논,밭두렁소각,,6,127.206537,35.2545596,전라남도 곡성군 겸면 괴정리 산200-1
2011,4,1,13:35,금,2011,4,2,9:10,경남,경상남도,거제시,장목면,농소리,산77,논,논밭두렁소각,,6,128.705777,35.0247432,경상남도 거제시 장목면 농소리 산77
