순번,입력타입,입력주소,정제결과,전환결과,우편번호,X-좌표,Y-좌표,사용자필드
188,지번,"경북	안동	녹전	사천	산82-2",경상북도 안동시 녹전면 사천리 산82-2,,36601,128.74481,36.7731378,
189,지번,"충북	제천	모산		산32-7",충청북도 제천시 모산동 산32-7,,27138,128.214965,37.1684981,
190,지번,"강원	평창	방림	운교	산237-1 3필",강원도 평창군 방림면 운교리 산237-1 3필,,25366,128.285304,37.4236506,
191,지번,"강원	홍천	화촌	장평	산1",강원도 홍천군 화촌면 장평리 산1,,25159,128.115541,37.733901,
192,지번,"인천	옹진	덕적	굴업	산2",인천광역시 옹진군 덕적면 굴업리 산2,,23134,125.971881,37.186711,
193,지번,"경북	영양	석보	소계	산247 외 2",경상북도 영양군 석보면 소계리 산247 외 2,,36555,129.151409,36.5938077,
194,지번,"경남	합천	율곡	와	",경상남도 합천군 율곡면 와리 산10,,50242,128.210297,35.6272998,
195,지번,"경북	경주	외동	북토	산21",경상북도 경주시 외동읍 북토리 산21,,38202,129.286341,35.7397137,
196,지번,"서울	강북	우이		산68-1",서울특별시 강북구 우이동 산68-1,"서울특별시 강북구 삼양로173길 116-203, (우이동, 영산법화사)",1002,126.993676,37.6606291,
197,지번,"전남	완도	신지	대곡	산15-1",전라남도 완도군 신지면 대곡리 산15-1,,59146,126.831304,34.3404342,
198,지번,"부산	기장	장안	장안	산65-1",부산광역시 기장군 장안읍 장안리 산65-1,,46028,129.213754,35.3667282,
199,지번,"충북	단양	단양	천동	Feb-58",충청북도 단양군 단양읍 천동리 58-1,,27024,128.430247,36.9711956,
200,지번,"강원	춘천	남산	강촌	산41-3",강원도 춘천시 남산면 강촌리 산41-3,,24465,127.657869,37.8137747,
201,지번,"강원	양양	손양	삽존	산57",강원도 양양군 손양면 삽존리 산57,,25045,128.625425,38.0351866,
202,지번,"경남	하동	악양	정동	산4",경상남도 하동군 악양면 정동리 산4,,52306,127.727972,35.171794,
203,지번,"울산	울주	범서	척과	산79",울산광역시 울주군 범서읍 척과리 산79,,44917,129.262853,35.6316624,
204,지번,"전북	남원	대강	사석	산197",전라북도 남원시 대강면 사석리 산197,,55788,127.243097,35.3364682,
205,지번,"충북	옥천	청성	산계	산14",충청북도 옥천군 청성면 산계리 산14,,29017,127.756223,36.3329415,
206,지번,"울산	북	농소3		산10-2",울산광역시 북구 농소3동 산10-2,,44209,129.343979,35.6235067,
207,지번,"울산	동	동부		산128",울산광역시 동구 동부동 산128,,44000,129.420878,35.5499399,
208,지번,"울산	동	동부		산185-1",울산광역시 동구 동부동 산185-1,,44001,129.441088,35.5481539,
209,지번,"대전	동	낭월		산2-1",대전광역시 동구 낭월동 산2-1,,34703,127.490959,36.2903723,
