DSRC 링크정보,표준노드링크 정보,구간명,시작지점명,도착지점명,거리,가로명,링크속도,링크통행시간,소통정보코드,정보생성일시
20190909125500,1281.84,395,상인네거리(고가),30,152,월곡로,01,월성네거리-상인네거리(고가),월성네거리,1560018200
20190909125500,1281.84,395,상인네거리(고가),30,152,월곡로,01,월성네거리-상인네거리(고가),월성네거리,1560019400
20190909125500,1281.84,395,상인네거리(고가),30,152,월곡로,01,월성네거리-상인네거리(고가),월성네거리,1560019401
20190909125500,1281.84,395,상인네거리(고가),30,152,월곡로,01,월성네거리-상인네거리(고가),월성네거리,1560019402
20190909125500,1281.84,395,상인네거리(고가),30,152,월곡로,01,월성네거리-상인네거리(고가),월성네거리,1560020600
20190909125500,1789.21,400,월성교삼거리,44,148,달서대로,01,호림네거리-월성교삼거리,호림네거리,1560019800
20190909125500,1789.21,400,월성교삼거리,44,148,달서대로,01,호림네거리-월성교삼거리,호림네거리,1560022400
20190909125500,1789.21,400,월성교삼거리,44,148,달서대로,01,호림네거리-월성교삼거리,호림네거리,1560026800
20190909125500,1868.23,404,신당네거리,37,180,달구벌대로,01,강창교동편삼거리-신당네거리,강창교동편삼거리,1560006701
20190909125500,1868.23,404,신당네거리,37,180,달구벌대로,01,강창교동편삼거리-신당네거리,강창교동편삼거리,1560007900
20190909125500,1868.23,404,신당네거리,37,180,달구벌대로,01,강창교동편삼거리-신당네거리,강창교동편삼거리,1560008400
20190909125500,1070.63,405,문화대삼거리,38,105,달서대로,01,신당네거리-문화대삼거리,신당네거리,1560065300
20190909125500,1070.63,405,문화대삼거리,38,105,달서대로,01,신당네거리-문화대삼거리,신당네거리,1560068700
20190909125500,1070.63,405,문화대삼거리,38,105,달서대로,01,신당네거리-문화대삼거리,신당네거리,1560072900
20190909125500,1066.68,406,신당네거리,20,213,달서대로,02,문화대삼거리-신당네거리,문화대삼거리,1560065400
20190909125500,1066.68,406,신당네거리,20,213,달서대로,02,문화대삼거리-신당네거리,문화대삼거리,1560068800
20190909125500,1066.68,406,신당네거리,20,213,달서대로,02,문화대삼거리-신당네거리,문화대삼거리,1560073000
20190909125500,1960.58,407,문화대삼거리,28,248,달서대로,01,서재초교삼거리-문화대삼거리,서재초교삼거리,1560077800
